"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"711","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=870499 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"712","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=871959 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"713","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"714","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=874879 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"715","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=876339 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"716","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"717","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=879259 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"718","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"719","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=882179 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"720","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=883639 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"721","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"722","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=886559 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"723","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=888019 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"724","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"725","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=890939 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"726","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=892399 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"727","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"728","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=895319 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"729","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=896779 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"730","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"731","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=899699 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"732","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=901159 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
